YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,0,24,1,0,1,0,0,0,26600
2018,15,1,78,0,1,0,0,0,0,59300
2018,15,0,19,0,0,0,0,1,0,8000
2018,15,0,74,0,1,0,0,0,0,9000
2018,15,0,22,1,0,0,0,1,0,25000
2018,15,0,23,1,0,0,0,1,0,26000
2018,15,0,87,0,1,0,0,0,0,32000
2018,15,0,27,0,0,0,0,1,0,28400
2018,15,0,23,0,0,0,0,1,0,26600
2018,15,0,21,0,0,1,0,0,0,26600
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,20,0,0,0,0,1,0,26000
2018,15,0,66,0,1,0,0,0,0,0
2018,15,0,20,1,0,0,1,0,0,0
2018,15,0,19,0,0,0,0,1,0,31200
2018,15,0,18,0,0,0,0,1,0,14000
2018,15,0,31,1,1,0,1,0,0,0
2018,15,1,19,0,1,0,0,1,0,3000
2018,15,1,96,0,0,0,0,1,0,15300
2018,15,0,22,0,0,0,0,1,0,21000
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,1,91,0,1,0,0,0,1,19700
2018,15,0,21,0,0,0,0,1,0,22000
2018,15,0,20,1,0,0,0,1,0,24000
2018,15,1,18,0,1,0,0,0,0,0
2018,15,0,33,0,0,0,0,1,0,30000
2018,15,0,57,0,0,0,1,0,0,0
2018,15,0,43,0,1,0,0,0,0,0
2018,15,0,24,0,0,0,0,1,0,0
2018,15,0,31,1,0,0,1,0,0,8000
2018,15,0,45,0,1,0,0,0,0,0
2018,15,0,25,0,0,0,0,1,0,48000
2018,15,1,28,0,0,0,1,0,0,8900
2018,15,1,17,1,0,0,0,0,0,5800
2018,15,0,22,0,1,0,0,0,0,29000
2018,15,0,21,0,0,0,0,1,0,35000
2018,15,1,62,0,0,0,0,0,0,4700
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,1,54,0,0,0,1,0,0,4200
2018,15,0,18,0,0,0,0,1,0,6000
2018,15,0,21,0,0,0,0,1,0,0
2018,15,0,43,0,1,0,0,0,0,0
2018,15,0,26,0,0,0,1,0,0,34000
2018,15,1,62,0,0,0,1,0,0,14600
2018,15,0,21,0,0,1,0,0,0,26600
2018,15,1,19,1,0,0,0,0,0,3000
2018,15,0,48,0,1,0,0,0,0,0
2018,15,1,96,0,1,0,0,0,0,15700
2018,15,0,45,0,0,1,0,0,0,16600
2018,15,0,96,0,1,0,0,0,0,27600
2018,15,0,92,0,1,0,0,0,0,8600
2018,15,1,19,0,0,0,1,0,0,2500
2018,15,0,31,0,0,0,1,0,0,0
2018,15,0,23,0,0,0,1,0,0,8000
2018,15,0,43,0,1,0,0,0,0,16200
2018,15,0,17,0,0,0,1,0,0,0
2018,15,0,25,0,0,0,0,1,0,23300
2018,15,1,82,0,0,1,0,0,1,40300
2018,15,0,23,0,0,0,1,0,0,8000
2018,15,0,40,0,1,0,0,0,1,25700
2018,15,0,15,0,0,0,1,0,0,0
2018,15,0,19,1,0,0,0,1,0,1800
2018,15,0,36,1,1,0,1,0,0,0
2018,15,0,21,0,0,0,0,1,0,26600
2018,15,0,26,1,0,1,0,0,0,48000
2018,15,0,21,0,0,0,0,1,0,22000
2018,15,1,89,0,1,0,0,0,0,15900
2018,15,0,74,0,0,0,0,1,0,15600
2018,15,0,20,0,0,0,0,1,0,25000
2018,15,0,21,1,0,0,0,0,0,28600
2018,15,0,61,0,1,0,1,0,0,0
2018,15,0,18,0,1,0,1,0,0,25000
2018,15,0,62,0,0,0,1,0,0,16800
2018,15,0,96,0,1,0,0,0,0,18300
2018,15,0,33,1,0,0,1,0,0,0
2018,15,0,62,0,0,1,0,1,0,3770
2018,15,0,37,0,0,1,0,0,0,600
2018,15,0,84,0,1,0,0,0,0,9300
2018,15,0,25,0,0,1,0,0,0,30000
2018,15,0,40,0,1,0,0,0,1,25700
2018,15,1,65,0,1,0,0,0,0,24200
2018,15,0,72,0,1,0,0,0,1,18300
2018,15,1,16,0,0,0,1,1,0,0
2018,15,0,21,0,0,1,0,0,0,21000
2018,15,0,49,0,0,1,0,0,0,9000
2018,15,0,45,0,0,1,0,0,0,16600
2018,15,1,84,0,1,0,0,0,0,13000
2018,15,0,24,0,0,1,0,1,0,7000
2018,15,0,20,0,0,0,0,1,0,40000
2018,15,0,20,0,0,0,0,1,0,25000
2018,15,0,76,0,0,0,0,1,0,0
2018,15,0,33,1,0,0,1,0,0,0
2018,15,0,19,0,0,0,0,1,0,30000
2018,15,0,25,1,0,0,0,0,0,48000
2018,15,0,43,0,1,0,1,1,0,0
2018,15,0,35,1,1,0,0,1,0,0
2018,15,1,36,0,0,0,1,0,0,4300
2018,15,1,62,0,0,0,1,0,0,14600
2018,15,0,17,0,0,0,1,0,0,0
2018,15,0,74,0,1,0,0,0,0,9000
2018,15,1,66,1,1,0,0,0,0,0
2018,15,0,22,0,0,0,0,1,0,31200
2018,15,0,58,0,0,0,1,0,0,1700
2018,15,0,34,0,0,0,1,0,0,21600
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,26,0,0,0,0,1,0,26040
2018,15,1,90,0,0,0,0,1,0,33000
2018,15,0,15,0,0,0,1,0,0,0
2018,15,1,65,0,1,0,0,0,0,24200
2018,15,1,21,0,0,0,0,1,1,28000
2018,15,0,35,0,0,0,1,0,0,8000
2018,15,1,96,0,0,0,0,1,0,0
2018,15,0,20,0,1,0,0,0,0,0
2018,15,0,85,0,0,0,0,1,0,16800
2018,15,1,58,0,0,1,0,0,0,1500
2018,15,1,80,0,0,0,0,1,1,12600
2018,15,1,49,0,0,0,0,1,0,330
2018,15,0,28,0,0,0,1,0,0,10300
2018,15,0,24,0,0,0,0,1,0,26000
2018,15,0,42,1,0,0,0,1,0,26900
2018,15,1,92,0,1,0,0,0,1,29300
2018,15,0,33,0,0,1,0,0,0,21500
2018,15,0,23,1,0,0,0,0,0,26600
2018,15,0,23,0,0,0,0,1,0,14000
2018,15,1,21,1,0,0,0,1,0,30000
2018,15,1,96,0,0,0,0,1,1,8600
2018,15,0,92,0,0,0,1,0,0,20600
2018,15,1,77,0,1,0,0,0,1,8600
2018,15,0,19,0,0,0,0,1,0,7000
2018,15,0,73,0,0,0,0,1,0,9500
2018,15,0,42,0,0,0,0,1,0,510
2018,15,1,24,0,0,1,0,0,0,24000
2018,15,0,26,0,1,0,0,0,1,8000
2018,15,0,18,1,0,1,0,0,0,0
2018,15,0,22,0,0,0,0,1,0,11500
2018,15,0,24,0,0,0,0,1,0,0
2018,15,1,66,1,1,0,0,0,0,0
2018,15,0,56,0,0,0,0,1,0,0
2018,15,1,20,0,0,0,0,1,0,4800
2018,15,1,22,0,0,0,1,0,0,2500
2018,15,0,69,0,0,0,1,0,0,0
2018,15,0,21,0,0,0,0,1,0,0
2018,15,0,33,0,1,0,1,0,0,0
2018,15,0,23,1,0,0,0,1,0,26000
2018,15,1,69,0,0,0,1,0,1,8600
2018,15,0,37,0,0,0,1,0,0,0
2018,15,0,31,0,0,0,1,0,0,0
2018,15,1,38,0,0,0,1,0,0,3600
2018,15,1,82,0,0,0,0,1,0,7300
2018,15,1,79,0,1,0,0,0,0,8600
2018,15,1,96,0,1,0,0,0,1,0
2018,15,0,20,0,0,0,0,1,0,26000
2018,15,0,23,0,0,0,0,1,0,30000
2018,15,1,28,0,0,0,1,0,0,8900
2018,15,0,87,0,1,0,0,0,0,0
2018,15,0,60,0,1,0,0,0,0,0
2018,15,0,53,0,1,0,0,1,0,0
2018,15,0,43,0,1,0,1,1,0,0
2018,15,1,19,0,1,0,0,1,0,3000
2018,15,0,76,0,0,0,0,1,0,0
2018,15,0,31,1,1,0,1,0,0,0
2018,15,1,19,0,1,0,0,0,0,2000
2018,15,0,80,0,1,0,0,0,0,0
2018,15,0,41,0,1,0,1,0,0,300
2018,15,0,43,0,1,0,0,0,0,16200
2018,15,0,25,1,0,0,0,0,0,48000
2018,15,1,18,0,0,0,0,1,0,0
2018,15,0,18,0,0,0,0,1,0,6000
2018,15,0,20,0,0,0,0,1,0,24000
2018,15,1,87,0,1,0,0,0,0,0
2018,15,1,92,0,1,0,0,0,1,29300
2018,15,0,86,0,1,0,0,0,1,53600
